"jobId","username","taskId","level","ts","log","id","step","user"
"0d3a9ed5-33cc-4452-8eff-e1e209980045","retnesi","0d3a9ed5-33cc-4452-8eff-e1e209980045-prep","INFO","2022-04-26 14:57:57,678","Done. status=OK","Gsj4ilWxLXfrNIjAwUwRi",,
"0d3a9ed5-33cc-4452-8eff-e1e209980045","retnesi","0d3a9ed5-33cc-4452-8eff-e1e209980045-batchf-0","INFO","2022-04-26 14:57:57,742","Executing batch with file index: 0 for flow - trigger_flow ","8spy2U7jl_5V8PwVygjEj",,
"0d3a9ed5-33cc-4452-8eff-e1e209980045","retnesi","0d3a9ed5-33cc-4452-8eff-e1e209980045-map-0-0","INFO","2022-04-26 14:57:58,226","For single_flow, starting map of flow 0 for file: CDD-ILM/ILE/fs/ECS - ILM/Latest_Solution/input_csvs/2022/April/input_csv_2604/Input_CSV_Cohort_26042022.csv at file index: 0","SzwFAcpREvthpwTbS-kXj",,
"0d3a9ed5-33cc-4452-8eff-e1e209980045","retnesi","0d3a9ed5-33cc-4452-8eff-e1e209980045-map-0-0","INFO","2022-04-26 14:57:58,230","Initialized flow datastore using_cache=True using_file_system=True buffer_size=10000","aG55syZ1bhIxowB_E21nH",,
"0d3a9ed5-33cc-4452-8eff-e1e209980045","retnesi","0d3a9ed5-33cc-4452-8eff-e1e209980045-map-0-0","WARNING","2022-04-26 14:57:58,426","/home/ibuser/.local/lib/python3.7/site-packages/urllib3/connectionpool.py:1020: InsecureRequestWarning: Unverified HTTPS request is being made to host 'instabase.web.banksvcs.net'. Adding certificate verification is strongly advised. See: https://urllib3.readthedocs.io/en/latest/advanced-usage.html#ssl-warnings
  InsecureRequestWarning,","Iv-jMlJwsb6K8a4PUSv8A","apply_udf","true"
"0d3a9ed5-33cc-4452-8eff-e1e209980045","retnesi","0d3a9ed5-33cc-4452-8eff-e1e209980045-map-0-0","INFO","2022-04-26 14:58:01,681","INFO: File fetch is complete","pNOiC2mYXyvH_1QdhTTxG","apply_udf","true"
"0d3a9ed5-33cc-4452-8eff-e1e209980045","retnesi","0d3a9ed5-33cc-4452-8eff-e1e209980045-map-0-0","INFO","2022-04-26 14:58:01,681","INFO: Calling list_dir on path: CDD-ILM/ILE/fs/ECS - ILM/IandW/ with empty next_page_token","7iQUFHqQMXFhzV8Bf-vwZ","apply_udf","true"
"0d3a9ed5-33cc-4452-8eff-e1e209980045","retnesi","0d3a9ed5-33cc-4452-8eff-e1e209980045-map-0-0","INFO","2022-04-26 14:58:02,469","INFO: list_dir file count with path: CDD-ILM/ILE/fs/ECS - ILM/IandW/ and empty next_page_token: 99","l0KQCjNpdZ2Qdtx0Uvu8v","apply_udf","true"
"0d3a9ed5-33cc-4452-8eff-e1e209980045","retnesi","0d3a9ed5-33cc-4452-8eff-e1e209980045-map-0-0","INFO","2022-04-26 14:58:02,470","INFO: Calling list_dir on path: CDD-ILM/ILE/fs/ECS - ILM/IandW/ with next_page_token: cHJkZ2IwMDU1LnByZGJrMDAyNy9wcm9kL0lMRS9JYW5kVy8yMDIxMDkwM19BVUcyNzAwMl9OV0JfMTc4NDg2NDg4OF8xMDE5NDEzNF82MDAyNjAuemlw","T2UI97P94VTrlnv6lIKKk","apply_udf","true"
"0d3a9ed5-33cc-4452-8eff-e1e209980045","retnesi","0d3a9ed5-33cc-4452-8eff-e1e209980045-map-0-0","INFO","2022-04-26 14:58:02,580","INFO: list_dir file count with path: CDD-ILM/ILE/fs/ECS - ILM/IandW/ and next_page_token: cHJkZ2IwMDU1LnByZGJrMDAyNy9wcm9kL0lMRS9JYW5kVy8yMDIxMDkwM19BVUcyNzAwMl9OV0JfMTc4NDg2NDg4OF8xMDE5NDEzNF82MDAyNjAuemlw - 99","cy3Ub1qf0mXWMDRu7-GEk","apply_udf","true"
"0d3a9ed5-33cc-4452-8eff-e1e209980045","retnesi","0d3a9ed5-33cc-4452-8eff-e1e209980045-map-0-0","INFO","2022-04-26 14:58:02,580","INFO: Calling list_dir on path: CDD-ILM/ILE/fs/ECS - ILM/IandW/ with next_page_token: cHJkZ2IwMDU1LnByZGJrMDAyNy9wcm9kL0lMRS9JYW5kVy8yMDIxMDkwM19BVUcyNzAwMl9OV0JfMTg1MzM3Nzc2NV84NDM2MDc5OF82MDAzMjcuemlw","SDsAlL0ROM4dnvW09sVAp","apply_udf","true"
"0d3a9ed5-33cc-4452-8eff-e1e209980045","retnesi","0d3a9ed5-33cc-4452-8eff-e1e209980045-map-0-0","INFO","2022-04-26 14:58:03,084","INFO: list_dir file count with path: CDD-ILM/ILE/fs/ECS - ILM/IandW/ and next_page_token: cHJkZ2IwMDU1LnByZGJrMDAyNy9wcm9kL0lMRS9JYW5kVy8yMDIxMDkwM19BVUcyNzAwMl9OV0JfMTg1MzM3Nzc2NV84NDM2MDc5OF82MDAzMjcuemlw - 99","KRUnLvxOOam-BZeOM5ivh","apply_udf","true"
"0d3a9ed5-33cc-4452-8eff-e1e209980045","retnesi","0d3a9ed5-33cc-4452-8eff-e1e209980045-map-0-0","INFO","2022-04-26 14:58:03,084","INFO: Calling list_dir on path: CDD-ILM/ILE/fs/ECS - ILM/IandW/ with next_page_token: cHJkZ2IwMDU1LnByZGJrMDAyNy9wcm9kL0lMRS9JYW5kVy8yMDIxMDkwM19BVUcyNzAwMl9OV0JfMTg2MDE3MjQ2NF81OTQxODgxOF8wMTA5MzEuemlw","1KfC-E3RIyHnSS1J7QrRC","apply_udf","true"
"0d3a9ed5-33cc-4452-8eff-e1e209980045","retnesi","0d3a9ed5-33cc-4452-8eff-e1e209980045-map-0-0","INFO","2022-04-26 14:58:03,556","INFO: list_dir file count with path: CDD-ILM/ILE/fs/ECS - ILM/IandW/ and next_page_token: cHJkZ2IwMDU1LnByZGJrMDAyNy9wcm9kL0lMRS9JYW5kVy8yMDIxMDkwM19BVUcyNzAwMl9OV0JfMTg2MDE3MjQ2NF81OTQxODgxOF8wMTA5MzEuemlw - 99","jWe-THFTvdQogtbMgO9vA","apply_udf","true"
